anime_id,genres,name,type,episodes,aired,producers,licensors,studios,source,duration,rating,synopsis,image_url
40392,"Slice of Life, Drama, School, Shounen",ランウェイで笑って,TV,12,"Jan 11, 2020 to Mar 28, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures",Funimation,Ezόla,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Being the daughter of a modeling agency owner, Chiyuki Fujito aspires to represent her father's agency in the prestigious Paris Fashion Week, shining under the spotlight as a runway model. However, although she is equipped with great looks and talent, she unfortunately lacks a key element in becoming a successful model—height. Stuck at 158 cm even after entering high school, her childhood dream seems out of reach.

Meanwhile, Ikuto Tsumura is a high school student with a knack in designing clothes; however, without the resources to pursue the necessary education, his ambition of becoming a fashion designer remains a mere dream. But as fate brings Chiyuki and Ikuto together, the dim hopes within their hearts are ignited once again. Together, the two promise to rebel against convention and carve out their own paths in the fashion world.",https://cdn.myanimelist.net/images/anime/1544/104540.jpg
6023,"Comedy, Ecchi, Romance",乃木坂春香の秘密ぴゃあれっつぁ,TV,12,"Oct 6, 2009 to Dec 22, 2009","ASCII Media Works, Studio Mausu, Studio Jack",Discotek Media,Diomedéa,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,"Haruka's manga and anime hobby is still concealed by her dear friend Yuuto, but Yuuto's other female friend starts to feel affection and attraction towards him, so a feelings war begins among their circle of friends. Meanwhile Yuuto tries to make Haruka happy doing what she likes the most: drawing manga, watching anime, and attending special anime events.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/10/74013.jpg
187,"Action, Cars, Sports, Drama, Romance, Seinen",頭文字〈イニシャル〉D THIRD STAGE,Movie,1,"Jan 13, 2001",OB Planning,Funimation,Studio Deen,Manga,1 hr. 45 min.,PG-13 - Teens 13 or older,"Takumi Fujiwara is a skilled street racer, but he suffers a crushing loss against the team Emperor's leader Kyoichi Sudou due to his AE86 experiencing an engine failure. Doubting his abilities, the recent high school graduate is then approached by the Akagi RedSuns' team leader Ryousuke Takahashi, who proposes the formation of a professional street racing team. Although it would be the ideal way to improve as a street racer, Takumi remains undecided.

Does the young street racer have what it takes to become a professional? Perhaps Ryousuke and the RedSuns can help him reevaluate his own doubts and misconceptions concerning street racing. However, first and foremost, Takumi decides to settle the score with Kyoichi Sudou...",https://cdn.myanimelist.net/images/anime/13/40397.jpg
40059,"Action, Adventure, Historical, Seinen",ゴールデンカムイ,TV,12,"Oct 5, 2020 to Dec 21, 2020","Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine",Funimation,Geno Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity),"After obtaining information about Asirpa from the foreteller Inkarmat, Saichi ""The Immortal"" Sugimoto, Genjirou Tanigaki, and Cikapasi join the Seventh Division's Otonoshin Koito and Hajime Tsukishima on a journey to Karafuto. Heading further north into the freezing Russian territory, they collect any clues about Asirpa's whereabouts they can find and rush after her.

Meanwhile, Asirpa is unaware of what truly transpired at Abashiri Prison. Deeply disturbed and confused by her father Wilk's past actions, Asirpa follows his old friend Kiroranke to the place where Wilk was born and raised in order to better understand his motives. However, Kiroranke and the master sniper Hyakunosuke Ogata are scheming behind her back.

Even if they were to obtain all 24 tattooed skins that form a map to the lost Ainu gold, the various factions searching for it now understand that the map is useless without Asirpa. Realizing the danger she could be in, Sugimoto desperately hopes to reach Asirpa first and protect her from the greedy clutches of those who plan to drag her into their sins.",https://cdn.myanimelist.net/images/anime/1763/108108.jpg
10611,"Comedy, Ecchi, Harem, Romance, School",あーるじゅうご,TV,12,"Jul 10, 2011 to Sep 25, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC, Studio Kelmadick, Glovision",Unknown,"AIC, Remic",Light novel,24 min. per ep.,R+ - Mild Nudity,"R-15 is about a boy, Taketo Akutagawa, who attends a school for geniuses: Inspiration Academy Private High School. Taketo is a genius novelist and writes erotica. Despite negative perceptions many people have of him, he aims to be at the top of his class and be recognized as the world's greatest writer.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/anime/9/33029.jpg
35839,"Adventure, Comedy, Drama",宇宙よりも遠い場所,TV,13,"Jan 2, 2018 to Mar 27, 2018","Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund",Unknown,Madhouse,Original,23 min. per ep.,PG-13 - Teens 13 or older,"Filled with an overwhelming sense of wonder for the world around her, Mari Tamaki has always dreamt of what lies beyond the reaches of the universe. However, despite harboring such large aspirations on the inside, her fear of the unknown and anxiety over her own possible limitations have always held her back from chasing them. But now, in her second year of high school, Mari is more determined than ever to not let any more of her youth go to waste. Still, her fear continues to prevent her from taking that ambitious step forward—that is, until she has a chance encounter with a girl who has grand dreams of her own.

Spurred by her mother's disappearance, Shirase Kobuchizawa has been working hard to fund her trip to Antarctica. Despite facing doubt and ridicule from virtually everyone, Shirase is determined to embark on this expedition to search for her mother in a place further than the universe itself. Inspired by Shirase's resolve, Mari jumps at the chance to join her. Soon, their efforts attract the attention of the bubbly Hinata Miyake, who is eager to stand out, and Yuzuki Shiraishi, a polite girl from a high class background. Together, they set sail toward the frozen south.

Sora yori mo Tooi Basho follows the captivating journey of four spirited girls, all in search of something great.",https://cdn.myanimelist.net/images/anime/6/89879.jpg
37510,"Action, Slice of Life, Comedy, Supernatural",モブサイコ100 II,TV,13,"Jan 7, 2019 to Apr 1, 2019","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.

While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.",https://cdn.myanimelist.net/images/anime/1918/96303.jpg
24833,"Action, Comedy, School, Shounen",暗殺教室,TV,22,"Jan 10, 2015 to Jun 20, 2015","Dentsu, Studio Hibari, Fuji TV, DAX Production, BS Fuji, Avex Pictures, Shueisha",Funimation,Lerche,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Tucked in the mountains near the elite Kunugigaoka Middle School lies a small derelict building that houses the delinquents and dropouts of Class 3-E. Looked down upon by their peers, the students in this class appear to have little hope in advancing their academic careers. That is, until the national government tasks them with eliminating the greatest threat to their planet: their new teacher. 

Having already destroyed the moon, the octopus-like professor—dubbed ""Koro-sensei""—has now threatened to destroy the Earth by March of the following year. In light of their mission, the students have found that killing him is easier said than done. Not only can Koro-sensei move at speeds of up to Mach 20, but he can also resist almost every earthly weapon. Ironically, he also proves to be one of the best teachers Class 3-E has ever had. Training the class to excel in both their studies as students and skills as assassins, Koro-sensei is confident that his students' ingenuity and indomitable will could return them to the main campus. 

Through trial and error, Nagisa Shiota, as well as the other students of Class 3-E, must figure out Koro-sensei's weaknesses—and fast, for the very fate of the world depends upon it.",https://cdn.myanimelist.net/images/anime/5/75639.jpg
31043,"Mystery, Psychological, Supernatural, Seinen",僕だけがいない街,TV,12,"Jan 8, 2016 to Mar 25, 2016","Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson",Aniplex of America,A-1 Pictures,Manga,23 min. per ep.,R - 17+ (violence & profanity),"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.
 
However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.
 
Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.",https://cdn.myanimelist.net/images/anime/10/77957.jpg
34933,"Game, Mystery, Psychological, Drama, School, Shounen",賭ケグルイ,TV,12,"Jul 1, 2017 to Sep 23, 2017","Dentsu, Square Enix, Mainichi Broadcasting System, Movic, KlockWorx, DIVE II Entertainment, 81 Produce, Avex Pictures, FuRyu",Unknown,MAPPA,Manga,24 min. per ep.,R - 17+ (violence & profanity),"Unlike many schools, attending Hyakkaou Private Academy prepares students for their time in the real world. Since many of the students are the children of the richest people in the world, the academy has its quirks that separate it from all the others. By day, it is a normal school, educating its pupils in history, languages, and the like. But at night, it turns into a gambling den, educating them in the art of dealing with money and manipulating people. Money is power; those who come out on top in the games stand at the top of the school.

Yumeko Jabami, a seemingly naive and beautiful transfer student, is ready to try her hand at Hyakkaou's special curriculum. Unlike the rest, she doesn't play to win, but for the thrill of the gamble, and her borderline insane way of gambling might just bring too many new cards to the table.",https://cdn.myanimelist.net/images/anime/3/86578.jpg
36316,"Action, Fantasy, Game, Sci-Fi",七星のスバル,TV,12,"Jul 6, 2018 to Sep 21, 2018","TBS, Supa Love",Sentai Filmworks,Lerche,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,"Asahi's life in reality ended simultaneously when she died playing Union, a world-renowned online RPG. The members of Subaru went separate ways when Union shut down due to Asahi's death. Six years later, Haruto logs onto a renewed version of Re'Union and reunites with Asahi who had died. Is it really her or just an electronic ghost? The former team members reunite and enter the mysterious and deadly online game to find out.

(Source: TBS Global Business)",https://cdn.myanimelist.net/images/anime/1956/94914.jpg
